Wii Sports,Wii,2006,Sports
Super Mario Bros.,NES,1985,Platform
Mario Kart Wii,Wii,2008,Racing
Wii Sports Resort,Wii,2009,Sports
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing
Tetris,GB,1989,Puzzle
New Super Mario Bros.,DS,2006,Platform
Wii Play,Wii,2006,Misc
New Super Mario Bros. Wii,Wii,2009,Platform
Duck Hunt,NES,1984,Shooter
Nintendogs,DS,2005,Simulation
Mario Kart DS,DS,2005,Racing
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing
Wii Fit,Wii,2007,Sports
Wii Fit Plus,Wii,2009,Sports
Kinect Adventures!,X360,2010,Misc
Grand Theft Auto V,PS3,2013,Action
Grand Theft Auto: San Andreas,PS2,2004,Action
Super Mario World,SNES,1990,Platform
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing
Super Mario Land,GB,1989,Platform
Super Mario Bros. 3,NES,1988,Platform
Grand Theft Auto V,X360,2013,Action
Grand Theft Auto: Vice City,PS2,2002,Action
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing
Pokemon Black/Pokemon White,DS,2010,Role-Playing
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle
Gran Turismo 3: A-Spec,PS2,2001,Racing
Call of Duty: Modern Warfare 3,X360,2011,Shooter
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing
Call of Duty: Black Ops,X360,2010,Shooter
Pokemon X/Pokemon Y,3DS,2013,Role-Playing
Call of Duty: Black Ops 3,PS4,2015,Shooter
Call of Duty: Black Ops II,PS3,2012,Shooter
Call of Duty: Black Ops II,X360,2012,Shooter
Call of Duty: Modern Warfare 2,X360,2009,Shooter
Call of Duty: Modern Warfare 3,PS3,2011,Shooter
Grand Theft Auto III,PS2,2001,Action
Super Smash Bros. Brawl,Wii,2008,Fighting
Call of Duty: Black Ops,PS3,2010,Shooter
Animal Crossing: Wild World,DS,2005,Simulation
Mario Kart 7,3DS,2011,Racing
Halo 3,X360,2007,Shooter
Grand Theft Auto V,PS4,2014,Action
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action
Super Mario 64,N64,1996,Platform
Gran Turismo 4,PS2,2004,Racing
Super Mario Galaxy,Wii,2007,Platform
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure
Grand Theft Auto IV,X360,2008,Action
Gran Turismo,PS,1997,Racing
Super Mario 3D Land,3DS,2011,Platform
Gran Turismo 5,PS3,2010,Racing
Call of Duty: Modern Warfare 2,PS3,2009,Shooter
Grand Theft Auto IV,PS3,2008,Action
Super Mario All-Stars,SNES,1993,Platform
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing
Super Mario 64,DS,2004,Platform
Just Dance 3,Wii,2011,Misc
Call of Duty: Ghosts,X360,2013,Shooter
Halo: Reach,X360,2010,Shooter
Mario Kart 64,N64,1996,Racing
New Super Mario Bros. 2,3DS,2012,Platform
Halo 4,X360,2012,Shooter
Final Fantasy VII,PS,1997,Role-Playing
Call of Duty: Ghosts,PS3,2013,Shooter
Just Dance 2,Wii,2010,Misc
Gran Turismo 2,PS,1999,Racing
Call of Duty 4: Modern Warfare,X360,2007,Shooter
Donkey Kong Country,SNES,1994,Platform
Minecraft,X360,2013,Misc
Animal Crossing: New Leaf,3DS,2012,Simulation
Mario Party DS,DS,2007,Misc
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing
Super Mario Kart,SNES,1992,Racing
FIFA 16,PS4,2015,Sports
Wii Party,Wii,2010,Misc
Halo 2,XB,2004,Shooter
Mario Party 8,Wii,2007,Misc
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing
FIFA Soccer 13,PS3,2012,Action
The Sims 3,PC,2009,Simulation
GoldenEye 007,N64,1997,Shooter
Mario & Sonic at the Olympic Games,Wii,2007,Sports
Final Fantasy X,PS2,2001,Role-Playing
Final Fantasy VIII,PS,1999,Role-Playing
Pokémon Platinum Version,DS,2008,Role-Playing
Pac-Man,2600,1982,Puzzle
